Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
11,0.8964025197905194,0.05909506650251329,0.04450241370696737,0.058751,0.8878331035375595,0.058868564665317535,0.05345488339662552,0.15638671815395355,0.004804126061191509,0.0005227373055146627,0.00539937994447317,0.0006747133175761623,0.6000000000000001,0.5855744928121567,0.006000282884998138,0.15558565591818674,0.0,0.0,0.0
12,0.8623226096781431,0.07020408446718869,0.06747330585466822,0.070585,0.852841928601265,0.0709313452243805,0.07639749348163605,0.1555368471890688,0.005494141763928458,0.0005853228418723275,0.00596741440356727,0.0006156153576638979,0.6000000000000001,0.5855744928121567,0.006000282884998138,0.15558565591818674,0.0,0.0,0.0
13,0.823929480139655,0.08160559150179761,0.09446492835854746,0.081464,0.8136341795325279,0.08227406349033117,0.10426899045705795,0.15651636384427547,0.00637112955153372,0.0006436951164605598,0.006717642277455059,0.0007777958341104795,0.6000000000000001,0.5855744928121567,0.006000282884998138,0.15558565591818674,0.0,0.0,0.0
14,0.7819451246252506,0.09259451369251404,0.12546036168223543,0.09301,0.7709137126803398,0.09269091486930847,0.13660065829753876,0.155395420268178,0.007654440213864641,0.0006482069761351972,0.00796509983716696,0.0013883427996656359,0.6000000000000001,0.5855744928121567,0.006000282884998138,0.15558565591818674,0.0,0.0,0.0
15,0.7374623592684341,0.10236648958801954,0.16017115114354635,0.102656,0.7305848971009254,0.10212380532175303,0.16756154596805573,0.2477460615336895,0.007017920893430319,0.0006439365564376294,0.007071441176439844,0.0010994592582768252,0.6000000000000001,0.5855744928121567,0.006000282884998138,0.24860816129608126,1594.8635886907578,484.48178136348724,0.04334243219501474
16,0.6938487023942379,0.10040071022636654,0.20575058737939528,0.100085,0.6863890811800957,0.10164075065404177,0.21161695569753647,0.25125142745673656,0.010601169823894769,0.0006591836711073628,0.010816542924751607,0.0036402047605668454,0.6000000000000001,0.6110308393836021,0.009156566818976813,0.24860816129608126,0.0,0.0,0.0
17,0.6540704163310861,0.09603675655063343,0.24989282711828037,0.096507,0.6446822807192802,0.09707536175847054,0.25777319073677063,0.24977892637252808,0.011522537940548642,0.0007515973348316171,0.01128612343005329,0.004210388989238579,0.6000000000000001,0.6110308393836021,0.009156566818976813,0.24860816129608126,0.0,0.0,0.0
18,0.618553011860724,0.08980957427284134,0.2916374138664345,0.089752,0.607685960829258,0.09004171099513769,0.30173198133707047,0.2501597236841917,0.01174024921990138,0.0009561622709069933,0.01156879768472902,0.0014653313230973996,0.6000000000000001,0.6110308393836021,0.009156566818976813,0.24860816129608126,0.0,0.0,0.0
19,0.5873936591219824,0.08232305171625406,0.3302832891617632,0.082465,0.5747747421264648,0.08242730516940355,0.3423984572291374,0.24593752808868885,0.011239626311970313,0.0009821532977081701,0.011373597891727814,0.0017317020718139895,0.6000000000000001,0.6110308393836021,0.009156566818976813,0.24860816129608126,0.0,0.0,0.0
20,0.5604446616355101,0.07415743143867352,0.36539790692581614,0.074079,0.5502507463097572,0.07551831472665071,0.3738553151488304,0.04753732215613127,0.009033043474573309,0.0009612645946724783,0.008833223775199014,0.0012659154459598917,0.6000000000000001,0.6110308393836021,0.009156566818976813,0.046237366141792025,1556.6630779206753,482.18570905923843,0.025722183296833664
21,0.5350131640726846,0.08053050613229042,0.38445632979502453,0.080566,0.5301175490021706,0.07941659819334745,0.3906736746430397,0.045188128016889095,0.008795938829683802,0.0004974249205878102,0.008698515501490355,0.000842822375706241,0.6000000000000001,0.6063277721405029,0.00864817353630808,0.046237366141792025,0.0,0.0,0.0
22,0.5089009122126309,0.08610737597301633,0.4049917118143522,0.086358,0.5033708140254021,0.0860918490216136,0.41053734719753265,0.046268407721072435,0.008514117253614659,0.0008568299519741493,0.008879297447926825,0.0008907904412184483,0.6000000000000001,0.6063277721405029,0.00864817353630808,0.046237366141792025,0.0,0.0,0.0
23,0.48259286886391944,0.09063164509155681,0.42677548604452326,0.090541,0.4769230857491493,0.09055870492011309,0.43251820653676987,0.04790337150916457,0.00892987347292891,0.0006802763584854427,0.008944795549329743,0.0014764138902580008,0.6000000000000001,0.6063277721405029,0.00864817353630808,0.046237366141792025,0.0,0.0,0.0
24,0.4565717627728264,0.09390555911599147,0.4495226781111817,0.093581,0.4510316625237465,0.09345678146928549,0.4555244743824005,0.038473994471132755,0.00924764493213971,0.0005430145997981087,0.009179285956689766,0.0024119503785109135,0.6000000000000001,0.6063277721405029,0.00864817353630808,0.046237366141792025,0.0,0.0,0.0
25,0.4312815847048172,0.09580947969033153,0.47290893560485076,0.095839,0.42663072794675827,0.09555535204708576,0.4778883457183838,0.21642740070819855,0.008860039275781897,0.00032669741368825307,0.00893691970587414,0.008953034590804224,0.6000000000000001,0.6063277721405029,0.00864817353630808,0.2227773316250266,1597.1306796073914,482.2381159067154,0.013958226478128622
