Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
31,0.37374329650832927,0.047459004256014604,0.5787976992356556,0.0496,0.3530167117714882,0.05026649683713913,0.5967944487929344,0.4018012620508671,0.0034504437712698298,0.001081628224623428,0.002588433372696198,0.0008763414201709325,0.6000000000000001,0.6341691240668297,0.0051593195390571426,0.4000000079323774,0.0,0.0,0.0
32,0.3649837660442242,0.03250224143193117,0.6025139925238443,0.0308,0.34377099201083183,0.031219646334648132,0.6250527799129486,0.4017573520541191,0.0050964911145185525,0.0007095841123475693,0.004358672553684112,0.002890476389166949,0.6000000000000001,0.6341691240668297,0.0051593195390571426,0.4000000079323774,0.0,0.0,0.0
33,0.35911620512277037,0.022162965682581724,0.6187208291946478,0.0202,0.3375517353415489,0.020012002671137452,0.6423467323184013,0.4071481376886368,0.006568912211392757,0.00047456146214895916,0.005936456226714969,0.004535597393342511,0.6000000000000001,0.6341691240668297,0.0051593195390571426,0.4000000079323774,0.0,0.0,0.0
34,0.35517506568557844,0.015068894380180423,0.6297560399342408,0.0144,0.3327678479254246,0.013909932458773255,0.6533057764172554,0.3922414928674698,0.007730216836314332,0.0003229912308448089,0.007416866271905773,0.008810084878359901,0.6000000000000001,0.6341691240668297,0.0051593195390571426,0.4000000079323774,0.0,0.0,0.0
35,0.3525227493564215,0.010225560454012975,0.6372516901895652,0.0093,0.3295920416712761,0.010476442985236645,0.6600746586918831,0.38113564997911453,0.008525685286898716,0.0004141200412397241,0.008540622166784794,0.0018514939802634386,0.6000000000000001,0.6341691240668297,0.0051593195390571426,0.36975163581785747,1499.0232827067375,471.2028043270111,0.06554009450911125
36,0.35070993741382056,0.007142622348735089,0.642147440237444,0.0053,0.3252803273499012,0.006084865308366716,0.6687149256467819,0.3740636482834816,0.004626565262986594,0.00011595408646488027,0.004480041548957939,0.0020943719802195976,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.36975163581785747,0.0,0.0,0.0
37,0.3494497881805603,0.004984630898965244,0.645565580920474,0.0046,0.32351264357566833,0.004383888153824955,0.6721749603748322,0.37067216262221336,0.004695762710874508,0.0001002764864653731,0.004586970824299878,0.0042564752262280086,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.36975163581785747,0.0,0.0,0.0
38,0.34857333039917576,0.003476431154131606,0.6479502384466922,0.0036,0.32222114875912666,0.0033954947430174798,0.6744392663240433,0.3738235682249069,0.004723741037212384,8.90740580026936e-05,0.004647196822758522,0.0050388573026606456,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.36975163581785747,0.0,0.0,0.0
39,0.34796350057688546,0.0024235022199392588,0.6496129972031749,0.002,0.3212599568068981,0.0028032436675857753,0.6759759783744812,0.3615058436989784,0.004735048502133444,7.372747432043268e-05,0.004678535339133926,0.012987369816365953,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.36975163581785747,0.0,0.0,0.0
40,0.34753907171187826,0.0016889649457317297,0.6507719633423895,0.002,0.3205218054354191,0.002434628375340253,0.6770699098706245,0.01427903160220012,0.0047435977378883125,6.1190267100292e-05,0.004697541980278739,0.013332630801005666,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
41,0.3471855772523973,0.0017032405543630316,0.651111182193239,0.0026,0.3199329078197479,0.00219534759526141,0.6778888180851936,0.0036679174954770133,0.00475444909293675,5.3939843836667445e-05,0.004712880912631957,0.002536586549710715,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
42,0.34682949695515247,0.0017172712747228849,0.651453231770124,0.0017,0.3194445036351681,0.002033540411503054,0.6785319298505783,0.0027355334314052016,0.004768087669890837,5.184545336604447e-05,0.0047275104235558535,0.0019209015881099783,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
43,0.34647089153068905,0.001731046436652082,0.6517980620326582,0.0024,0.3190251253545284,0.0019202014518668875,0.6790588200092316,0.0023497271176893264,0.004782785457383552,5.3919523429685815e-05,0.00474123724270673,0.001839914405930037,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
44,0.34610982373756805,0.0017445554487486956,0.6521456208136825,0.002,0.3186543546617031,0.001838433396187611,0.6795063465833664,0.0019988012354588136,0.004796518505962208,5.8716470994117715e-05,0.004752834478741054,0.0019007196986316516,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
45,0.3457463583486579,0.0017577878146842764,0.652495853836657,0.0021,0.3183188773691654,0.0017768951220205054,0.679897703230381,0.0018985728929692414,0.004807407696896064,6.265633091209443e-05,0.004760948668536974,0.0019100539276096702,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
46,0.34538056211402135,0.0017707331496475708,0.6528487047363303,0.0017,0.31800977140665054,0.0017301350453635678,0.6802481189370155,0.0018453507291269489,0.004814241990173476,6.638678234822979e-05,0.004764641804739386,0.001913744862981583,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
47,0.3450125037204251,0.0017833811968732867,0.6532041150827009,0.002,0.3177208937704563,0.0016961290675681084,0.6805678829550743,0.0018109217489836738,0.004816343846123853,6.920590438344128e-05,0.004763402017118925,0.0019182799974252693,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
48,0.3446422537474906,0.001795721844214996,0.6535620244082937,0.0016,0.31744788587093353,0.0016700485575711355,0.6808641254901886,0.001413332938682288,0.004813725876929871,7.281835243783076e-05,0.004757342706987964,0.000993673173966881,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
49,0.34426988462053243,0.0018077451407174537,0.6539223702387492,0.0018,0.31718749552965164,0.001649853031267412,0.6811419874429703,0.0009980228678614367,0.004806788883229216,7.69922806095667e-05,0.004746913713894664,0.000517124285592679,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,0.0,0.0,0.0
50,0.34389547056013176,0.0018194413131438648,0.6542850881267235,0.0015,0.31693726778030396,0.0016341475711669773,0.6814053282141685,0.0009750951212481596,0.004796360000459911,8.150801638564794e-05,0.004733009217181531,0.0005244569324278187,0.6000000000000001,0.6296321526169777,0.0061130521191288005,0.0,1489.2756330668926,464.3225799500942,0.0
