Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.0458,0.9324589371681213,0.04621072858572006,0.02133035659790039,0.13766178488731384,0.0,0.0,0.0,0.0,0.6000000000000001,0.5693903565406799,0.0,0.1368199371963441,1485.1002476215363,464.675404548645,6.93888292380373e-08
11,0.8961207057572058,0.060211184961442996,0.04366810928135124,0.0596,0.8794747591018677,0.05975719913840294,0.060768067836761475,0.13885921239852905,0.0,0.0,0.0,0.0,0.6000000000000001,0.5972796082496643,0.0,0.1368199371963441,0.0,0.0,0.0
12,0.8610960329866705,0.0728546810157178,0.06604928599761195,0.0751,0.8413540124893188,0.07486555725336075,0.08378040790557861,0.14093193411827087,0.0,0.0,0.0,0.0,0.6000000000000001,0.5972796082496643,0.0,0.1368199371963441,0.0,0.0,0.0
13,0.8209892954294284,0.0861865011192061,0.09282420345136573,0.0907,0.7980127334594727,0.0885150283575058,0.11347222328186035,0.14143577218055725,0.0,0.0,0.0,0.0,0.6000000000000001,0.5972796082496643,0.0,0.1368199371963441,0.0,0.0,0.0
14,0.7765064600556412,0.09939835851173619,0.12409518143262294,0.0977,0.7512803077697754,0.09989717602729797,0.14882254600524902,0.1451115757226944,0.0,0.0,0.0,0.0,0.6000000000000001,0.5972796082496643,0.0,0.1368199371963441,0.0,0.0,0.0
15,0.7288394307857452,0.11150197598197391,0.1596585932322812,0.1097,0.7091192007064819,0.10897660255432129,0.18190419673919678,0.30348265171051025,0.0,0.0,0.0,0.0,0.6000000000000001,0.5972796082496643,0.0,0.30591418009665333,1482.793685913086,463.9662034511566,0.0738246352033039
16,0.6834092314042662,0.1026647665910816,0.21392600200465262,0.1044,0.6984171271324158,0.10503703355789185,0.19654583930969238,0.3075673282146454,0.0,0.0,0.0,0.0,0.6000000000000001,0.6049785017967224,0.0,0.30591418009665333,0.0,0.0,0.0
17,0.6445721417967444,0.09216921557150676,0.26325864263174936,0.0947,0.6562877893447876,0.09384677559137344,0.24986541271209717,0.3080804944038391,0.0,0.0,0.0,0.0,0.6000000000000001,0.6049785017967224,0.0,0.30591418009665333,0.0,0.0,0.0
18,0.6119346396135326,0.08099344992912769,0.3070719104573402,0.08,0.623602569103241,0.07887260615825653,0.2975248098373413,0.31037548184394836,0.0,0.0,0.0,0.0,0.6000000000000001,0.6049785017967224,0.0,0.30591418009665333,0.0,0.0,0.0
19,0.5848610490500425,0.06991165037989759,0.3452273005700603,0.0659,0.5966638922691345,0.06537038832902908,0.337965726852417,0.30546116828918457,0.0,0.0,0.0,0.0,0.6000000000000001,0.6049785017967224,0.0,0.30591418009665333,0.0,0.0,0.0
