Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.048772,0.9020637050271034,0.04903367115184665,0.04884949326515198,0.16923259757459164,0.001585402954684588,0.00021192868400201178,0.0016928236477670913,0.0012419384652484918,0.6000000000000001,0.6155458986759186,0.0010553942973982437,0.16934582934703918,1704.3888583481312,3.173327492019222e-06
11,0.8966069628508246,0.05828980923589169,0.04510322791328412,0.058575,0.7920030131936073,0.05715171946212649,0.15092387050390244,0.16905652545392513,0.12095567469002938,0.000495374392071003,0.12038191264179289,0.0002991748342408204,0.6000000000000001,0.7105192467570305,0.17312380436634753,0.16934582934703918,0,0
12,0.8632034706776296,0.06832161227448358,0.06847491704788715,0.068539,0.7590935751795769,0.06711286585777998,0.17388350516557693,0.16886596381664276,0.12152671244925654,0.0004756933394448229,0.12095591337806372,0.0003661599773156984,0.6000000000000001,0.7105192467570305,0.17312380436634753,0.16934582934703918,0,0
13,0.8260220854813358,0.07839983719380622,0.09557807732485837,0.078658,0.722571387887001,0.07716096192598343,0.20043860375881195,0.16987263411283493,0.12177129759803433,0.0006157281351836804,0.12110084388502583,0.000520693087598633,0.6000000000000001,0.7105192467570305,0.17312380436634753,0.16934582934703918,0,0
14,0.7857877875585493,0.08789549312517891,0.12631671931627209,0.087951,0.6835213750600815,0.08626544009894133,0.23045392334461212,0.1685209646821022,0.12131881235578125,0.0007523298108132997,0.1205906866382766,0.0007833700106032442,0.6000000000000001,0.7105192467570305,0.17312380436634753,0.16934582934703918,0,0
15,0.7435233001702761,0.09612682863206937,0.1603498711976548,0.096865,0.642366286367178,0.09983016084879637,0.25774625688791275,0.24889623746275902,0.11957043237669666,0.0012163223383460638,0.1207185465351738,0.003230215751562023,0.6000000000000001,0.7105192467570305,0.17312380436634753,0.25471222889998035,1775.4685807824135,2.250083378387419e-05
16,0.7021954476124187,0.09411429007775972,0.2036902623098217,0.094326,0.6237975805997849,0.09247635491192341,0.2838524132966995,0.2542405016720295,0.026226312006733955,0.0018404341425752337,0.024298620052508532,0.0005800092762775495,0.6000000000000001,0.6737468466162682,0.028362268084037242,0.25471222889998035,0,0
17,0.6644025893457997,0.08998001542800586,0.24561739522619466,0.090593,0.5868215784430504,0.08816417213529348,0.32513804733753204,0.2544526755809784,0.02692645901688608,0.0016257822078995332,0.02514664312080794,0.000635801884255635,0.6000000000000001,0.6737468466162682,0.028362268084037242,0.25471222889998035,0,0
18,0.6305332770896521,0.08419663327754037,0.2852700896328076,0.084171,0.5541013553738594,0.0823869127780199,0.36369194090366364,0.25455301254987717,0.027530405961980624,0.0017230111814782831,0.025694748529323793,0.0006489515269648104,0.6000000000000001,0.6737468466162682,0.028362268084037242,0.25471222889998035,0,0
19,0.6006882788616104,0.07729343471913895,0.322018286419251,0.077539,0.5252786949276924,0.07547005452215672,0.39947161078453064,0.2525123655796051,0.028226434379411316,0.0016997725991075865,0.02644208292892584,0.0010251818486353011,0.6000000000000001,0.6737468466162682,0.028362268084037242,0.25471222889998035,0,0
