Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,u_ideal,time_ode_used_mean,loss_mean
35,0.38222892883994375,0.016035432001873868,0.6017356391581823,0.02,0.3417830429971218,0.018286888604052365,0.6399300619959831,0.33344870060682297,0.006328855651748242,0.0018490121064008219,0.006544715246825185,0.004252988199888957,0.6000000000000001,0.64055135846138,0.011338469497419667,0.3371901066845546,-9.872132101854798e-09,1750.0470255315304,0.0008394845744518755
36,0.3790776569691282,0.011774705456164413,0.6091476375747072,0.017,0.3488704636693001,0.013237443170510232,0.6379625648260117,0.33617250621318817,0.012671595504637234,0.0020382379635890623,0.010995207116290652,0.001251847884680115,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.3371901066845546,-9.872132101854798e-09,0.0,0.0
37,0.3767821325593796,0.00863210623634025,0.6145857612042799,0.009,0.3464377410709858,0.008255673805251718,0.6455248072743416,0.336518581956625,0.012848790396696664,0.0003767357187049367,0.013001082354378855,0.0012779432981969321,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.3371901066845546,-9.872132101854798e-09,0.0,0.0
38,0.3751090947744661,0.0063207847941360515,0.6185701204313977,0.005,0.3446817547082901,0.005854133691173047,0.6495892331004143,0.3364080712199211,0.013020031258533073,0.00033378764778932803,0.013353125093705322,0.0011252752450284773,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.3371901066845546,-9.872132101854798e-09,0.0,0.0
39,0.3738892708033696,0.004624365370767318,0.621486363825863,0.005,0.3433750867843628,0.004971846588887274,0.651650570333004,0.33350126817822456,0.013195887733721571,0.0003835969706076279,0.012963913280092195,0.0034531634483056903,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.3371901066845546,-9.872132101854798e-09,0.0,0.0
40,0.3729996266919049,0.0033811239351034107,0.6236192493729914,0.007,0.3423743061721325,0.0046115959994494915,0.6528700962662697,0.002939312398666516,0.01336460368580819,0.0006848701063867141,0.012577724998030561,0.0011664974359461278,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
41,0.37223470170533823,0.0034617616059077192,0.6243035366887538,0.003,0.3415779136121273,0.00337007301277481,0.6550604030489922,0.0010840181785169989,0.013516707289391904,0.00016225946845777742,0.013613635971088434,0.0001593464077064078,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
42,0.37145334137622954,0.0035426787147729384,0.6250039799089973,0.003,0.34090254828333855,0.003027961327461526,0.6561961024999619,0.000941232341574505,0.013648766972816376,0.00019225213725658944,0.013833444360041485,0.00017244299303579186,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
43,0.37065560527822866,0.003623770182275901,0.6257206245394953,0.002,0.3402809090912342,0.0029063188703730702,0.656899631023407,0.0009133709972957149,0.013759836427688745,0.00019371145560008473,0.013908437972161689,0.00018304876862145479,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
44,0.3698415794448129,0.003704925993307148,0.6264534945618796,0.005,0.33965805917978287,0.0029487798165064305,0.6573585122823715,0.0009034041140694171,0.013847076989572339,0.00011830853893364297,0.013932461332297287,0.00018824659987413768,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
45,0.3690113771695918,0.003786031365159134,0.6272025914652487,0.003,0.33898432552814484,0.0028019862656947225,0.658226378262043,0.0008990184360300191,0.013899988232164076,0.000248595059615624,0.01410325952541318,0.00019083630095291558,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
46,0.36816513973510834,0.0038669669505978824,0.6279678933142934,0.001,0.33821050450205803,0.0024322463432326913,0.6593344882130623,0.0008969136688392609,0.013896429183691533,0.0006796488689288148,0.014376294562591197,0.00019217504500907714,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
47,0.36730303661134645,0.00394760935150625,0.6287493540371469,0.006,0.3373003900051117,0.004459958348888904,0.6582551896572113,0.0008958945982158184,0.013820779181632865,0.0007245623608875708,0.013352705683877914,0.00019286353201940034,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
48,0.36642526656083135,0.004027830956854959,0.6295469024823133,0.006,0.33626336976885796,0.004941526858601719,0.6587954014539719,0.0008954412915045395,0.01370750633480084,0.0004609839337493459,0.013408565591073696,0.00019319102646348497,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
49,0.36553205831868785,0.004107500225042491,0.6303604414562693,0.004,0.33512958884239197,0.004801815433893353,0.6601082533597946,0.0008953001160989515,0.013604521427440681,0.00032689707313004427,0.013809565326659405,0.0001933094394693589,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,0.0,0.0
50,0.3646236706412846,0.004186482255711043,0.6311898471030041,0.008,0.3339024856686592,0.006575601233635098,0.6595567166805267,0.0008953369688242674,0.013509371151403918,0.001182261801426836,0.012507572787259055,0.0001933037674582672,0.6000000000000001,0.6307818591594696,0.011141205207583244,0.0,0.0,1739.3327856957912,0.0
