Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
13,0.8185862775630617,0.08999606370461102,0.09141765873232738,0.099,0.7663723304867744,0.0981189263984561,0.13502978533506393,0.12250859569758177,0.006701967193320933,0.0002840882191526792,0.006259348966697132,0.00035084117848973537,0.6000000000000001,0.6491502225399017,0.005847391898875876,0.12194752160275435,0,0
14,0.7720284404796178,0.10513321900243826,0.12283834051794405,0.107,0.7154507488012314,0.1137269614264369,0.17066821455955505,0.12137497588992119,0.006464570298455336,0.0017204602308216331,0.007045810060024849,0.00039693130250708345,0.6000000000000001,0.6491502225399017,0.005847391898875876,0.12194752160275435,0,0
15,0.7217036433236241,0.1192889302333575,0.15900742644301835,0.145,0.6594087779521942,0.13991940580308437,0.20073378086090088,0.37523677572607994,0.006449325028027401,0.0019935107630348666,0.006409261483980098,0.020340244425691385,0.6000000000000001,0.6491502225399017,0.005847391898875876,0.4000000099820904,1751.6993609964848,2.0545849941008254e-05
16,0.6758722591484502,0.0995097910203711,0.22461794983117866,0.106,0.7819378897547722,0.03941988737370239,0.17851486802101135,0.4160585440695286,0.1421532357195028,0.05089203745519899,0.10027163941933386,0.01256248976354058,0.6000000000000001,0.8040708974003792,0.09248627340258339,0.4000000099820904,0,0
17,0.6403022860556794,0.08101603408480888,0.2786816798595119,0.099,0.7657585740089417,0.036708961914892146,0.19753248244524002,0.4196898713707924,0.1608174562745044,0.04739343121349757,0.1195202384693787,0.015087334983133095,0.6000000000000001,0.8040708974003792,0.09248627340258339,0.4000000099820904,0,0
18,0.6129840280955775,0.06473276229677247,0.32228320960765033,0.064,0.7554735392332077,0.02389612112299222,0.22063034772872925,0.40526820346713066,0.1729602783272366,0.030851984508559527,0.14508524005907278,0.006147105442641559,0.6000000000000001,0.8040708974003792,0.09248627340258339,0.4000000099820904,0,0
19,0.5921451132323422,0.05098451476289647,0.35687037200476174,0.057,0.7469819858670235,0.021041955931613066,0.23197606950998306,0.34763627126812935,0.18309410604895773,0.027170285995879926,0.15818525054922447,0.04277564229446347,0.6000000000000001,0.8040708974003792,0.09248627340258339,0.4000000099820904,0,0
20,0.576318038841987,0.03971950912324189,0.3839624520347716,0.046,0.7408384382724762,0.017094029679380673,0.24206754565238953,0.03396254053222947,0.19048567323689045,0.02207034252539148,0.17004431458805763,0.018328053352615576,0.6000000000000001,0.8040708974003792,0.09248627340258339,-9.98E-09,1757.4655256867409,6.06254182359784e-06
21,0.5617409293960371,0.045756977942356954,0.3925020926616065,0.045,0.8166550323367119,0.01145191999911832,0.17115610092878342,0.008401990613492671,0.2019416851516357,0.01983806421979773,0.18088147135654714,0.0047120254388480125,0.6000000000000001,0.8050160706043243,0.07217841224834731,-9.98E-09,0,0
22,0.5454791439824804,0.05222669318230871,0.4022941628352113,0.05,0.812627512961626,0.012716303050511302,0.1738060601055622,0.0058586663217283785,0.20890500633303266,0.022027447302278336,0.18545916577715674,0.003145422104634394,0.6000000000000001,0.8050160706043243,0.07217841224834731,-9.98E-09,0,0
23,0.5275834782938026,0.05900320066421228,0.4134133210419856,0.063,0.8080065213143826,0.015584640111184545,0.1762651838362217,0.005255317693809047,0.21688894771186568,0.026994481544109175,0.189717000438413,0.002775269074590255,0.6000000000000001,0.8050160706043243,0.07217841224834731,-9.98E-09,0,0
24,0.508178668233422,0.06591667411130554,0.425904657655273,0.061,0.803426306694746,0.015750945424591434,0.1800205260515213,0.005105662487039808,0.22481014006351982,0.027283891583042355,0.19619805983263605,0.0026625275630673554,0.6000000000000001,0.8050160706043243,0.07217841224834731,-9.98E-09,0,0
25,0.4874663522375315,0.07275838502478557,0.4397752627376833,0.078,0.7982301935553551,0.018984240799614804,0.1825866773724556,0.012457750155590475,0.23378964126469057,0.032897143297102346,0.20065488016337163,0.005041141423076412,0.6000000000000001,0.8050160706043243,0.07217841224834731,0.019294145725755517,1753.8944287002087,8.424671235503265e-06
26,0.4659263965281619,0.07778052606254687,0.4562930774092916,0.077,0.6039348840713501,0.04797551902310859,0.34783072024583817,0.014636987238191068,0.26620179730700305,0.037163550004733044,0.22892552449108114,0.004958396366117032,0.6000000000000001,0.7464795038104057,0.09002376794348142,0.019294145725755517,0,0
27,0.4440915537427989,0.08207296227889686,0.4738354839783045,0.075,0.5919492207467556,0.047122529052512574,0.36055879294872284,0.014814892900176346,0.27544861440818186,0.03650793764210022,0.23875877425451802,0.0045580703540763386,0.6000000000000001,0.7464795038104057,0.09002376794348142,0.019294145725755517,0,0
28,0.4223010578685262,0.0854748173964138,0.4922241247350604,0.095,0.5777514576911926,0.05858211711991612,0.36358362436294556,0.014614581712521613,0.28643595577971537,0.04538518260331548,0.24104798630451643,0.00391501586517654,0.6000000000000001,0.7464795038104057,0.09002376794348142,0.019294145725755517,0,0
29,0.4008801965935417,0.08786977665400998,0.5112500267524487,0.09,0.5647046267986298,0.0563780835685328,0.37861329317092896,0.013916119234636426,0.2965183302176966,0.04367330768606301,0.2526996940130677,0.002858526639119747,0.6000000000000001,0.7464795038104057,0.09002376794348142,0.019294145725755517,0,0
30,0.38012077271493205,0.08919477394633897,0.5306844533387296,0.088,0.5528912171721458,0.05498864527737446,0.39156656712293625,0.042552362428978086,0.3056461538516771,0.04259749984805042,0.2627243105260499,0.006262650633362016,0.6000000000000001,0.7464795038104057,0.09002376794348142,0.04771982914501092,2204.984662592411,0.00019426037005591386
31,0.360538792882684,0.08694046309470535,0.5525207440226114,0.071,0.3841807171702385,0.06785113975190571,0.5479681417346001,0.044295976869761944,0.19602007171756142,0.025957605001824032,0.1704471958587579,0.005716809596192152,0.6000000000000001,0.6834447234869003,0.06208185204543212,0.04771982914501092,0,0
32,0.3425231814664005,0.08379243821484601,0.5736843803187544,0.091,0.36969027295708656,0.07224077876179646,0.5573001503944397,0.04495610995218158,0.2014810406789161,0.027544760367707536,0.17399173879640875,0.005286180778352256,0.6000000000000001,0.6834447234869003,0.06208185204543212,0.04771982914501092,0,0
33,0.3260960340775949,0.0799282465548969,0.593975719367509,0.074,0.3562871962785721,0.06804016190795692,0.5756494104862213,0.0442793695256114,0.2065396905843331,0.02579621746706918,0.180895125943333,0.004318605776870516,0.6000000000000001,0.6834447234869003,0.06208185204543212,0.04771982914501092,0,0
34,0.3112300251702535,0.07553002561417242,0.613239949215575,0.082,0.3441290110349655,0.06688995710573953,0.5889810472726822,0.041555105708539486,0.21113593272172199,0.025561855779455394,0.18579169116946878,0.004218624146002693,0.6000000000000001,0.6834447234869003,0.06208185204543212,0.04771982914501092,0,0
35,0.2978612731411925,0.07077208821874752,0.6313666386400607,0.062,0.33333717100322247,0.05606480273223746,0.6102802827954292,0.38456080108880997,0.2152182760519474,0.021361435794858687,0.19394211494013658,0.02862623928655054,0.6000000000000001,0.6834447234869003,0.06208185204543212,0.40000000966305516,1646.0441337823868,9.286812727454489e-05
36,0.2877264255112277,0.04628923219173074,0.6659843422970423,0.056,0.6021899413317442,0.027385962918847317,0.37007687240839005,0.40532277897000313,0.3616808892019502,0.02744706365927776,0.3339769686339848,0.004440379355473233,0.6000000000000001,0.6901043653488159,0.04740109731750703,0.40000000966305516,0,0
37,0.28130049517534644,0.03012854073738329,0.6885709640872715,0.031,0.5983935035765171,0.015753020327028633,0.38532790541648865,0.40490714088082314,0.36546816000408244,0.015785811952750143,0.34921593668755985,0.00909883661087602,0.6000000000000001,0.6901043653488159,0.04740109731750703,0.40000000966305516,0,0
38,0.2772016588427765,0.019549162793633418,0.7032491783635912,0.029,0.5958903189748526,0.01410205060005687,0.38979125022888184,0.40376607701182365,0.3679639217415046,0.014121173170656042,0.35366349147898596,0.006252481259920857,0.6000000000000001,0.6901043653488159,0.04740109731750703,0.40000000966305516,0,0
39,0.27457669670840934,0.012659504977730978,0.7127637983138609,0.019,0.5943407658487558,0.009483787266923338,0.3953932672739029,0.3765712380409241,0.3695084805814795,0.009631440851086137,0.35925377391506,0.04105953661133885,0.6000000000000001,0.6901043653488159,0.04740109731750703,0.40000000966305516,0,0
40,0.2728911899542716,0.0081875308572802,0.7189212791884494,0.005,0.5933884978294373,0.002982984512845066,0.40328601747751236,0.025899839878547937,0.3704580051512313,0.0030249114022305587,0.36713935042530754,0.03777265918039196,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
41,0.2715779509157602,0.007892802091364729,0.7205292469928762,0.005,0.5927610378712416,0.0026441236735166296,0.40450822561979294,0.006911612894327845,0.3710842643300845,0.0026476902660203913,0.36835809395654623,0.01372864279477124,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
42,0.2703184522238362,0.00760281251979868,0.7220787352563661,0.006,0.5922797899693251,0.0030603224259997397,0.4045885428786278,0.003518915102176834,0.37156501944327924,0.003062480004070662,0.36843838148279556,0.00606880812363004,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
43,0.2691111975420411,0.007318059945097508,0.7235707425128625,0.011,0.5918382983654737,0.0032797811480045347,0.4048006683588028,0.0025153840251732618,0.3720059907367042,0.0032852246332932492,0.3686482575997261,0.0035854176115965213,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
44,0.26795466043081695,0.007038979051970896,0.7250063605172133,0.003,0.5913793798536062,0.003427231755495308,0.405104823410511,0.002155784488422796,0.37246388810321374,0.003431230057099462,0.3689506012004346,0.0025721464828626288,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
45,0.26684729365633325,0.00676594442736546,0.7263867619163024,0.008,0.5908783357590437,0.0035835764943261683,0.405469685792923,0.0020188040944049135,0.3729631341789442,0.0035873612480673716,0.3693138620844405,0.0020985092435834496,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
46,0.26578753764906443,0.006499273803495924,0.7277131885474408,0.004,0.590331519022584,0.0037405116341280298,0.4058864563703537,0.0019710420092451386,0.37350736867565953,0.003743930498874603,0.3697288204512445,0.0018746453872838117,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
47,0.2647738281421981,0.006239231455678857,0.7289869404021244,0.011,0.5897476002573967,0.003883317563412758,0.4063439816236496,0.0019611890165833756,0.37408810559025035,0.0038860804030800547,0.37018423248270443,0.0017795638837029564,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
48,0.2638046030252701,0.005986031694598799,0.7302093652801324,0.008,0.5891409981995821,0.0040244831432747485,0.40682772547006607,0.0019672297130455263,0.3746910899130904,0.004028878262479675,0.3706655591771059,0.0017509868406399055,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
49,0.26287830845237364,0.005739842400139475,0.7313818491474882,0.008,0.5885271579027176,0.004150205300017529,0.40732264518737793,0.0019792164530372247,0.37530111362683655,0.004157065612278242,0.37115789398952403,0.0017547925278274296,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,0,0
50,0.26199340424702755,0.005500788551080909,0.7325058072018927,0.01,0.587919732555747,0.004264642738167401,0.4078156352043152,0.0019926047025364824,0.3759046544899733,0.004274704102727649,0.3716482017277263,0.0017726217101426945,0.6000000000000001,0.6901043653488159,0.04740109731750703,0,1656.8278569579124,0
